,이름,온도,물,습도,level
36,무늬 라벤더 (황금 라벤더),15~23℃,평균 주 1~2회,40~70%,3
37,스위트 바질,18~24℃,평균 주 1~2회,40~70%,3
38,바질트리,15~25℃,평균 주 1~2회,40~70%,3
39,페페로미아 에덴로소,18~26℃,평균 주 1~2회,40~70%,3
40,필로덴드론 파라이소 베르디,17~29℃,평균 주 1~2회,70% 이상,4
41,코르딜리네 초콜렛 퀸,21~25℃,평균 주 1~2회,40~70%,3
42,디펜바키아 실버다이아,21~25℃,평균 주 1~2회,40~70%,3
43,구즈마니아,21~25℃,평균 주 1~2회,40~70%,3
44,아스파라거스 메이리,15~25℃,평균 주 1~2회,40~70%,3
45,녹비단,16~27℃,평균 월 1~2회,40~70%,2
46,싱고니움 매직 마블,21~25℃,평균 주 1~2회,40~70%,3
47,무늬 싱고니움 (싱고니움 알보 바리에가타),21~25℃,평균 주 1~2회,40~70%,3
48,싱고니움 핑크 쥬얼리 (스트로베리 아이스),21~25℃,평균 주 1~2회,40~70%,3
49,싱고니움 핑크스팟,21~25℃,평균 주 1~2회,40~70%,3
50,귀면각 선인장 (연성각),18~28℃,평균 월 1회 이하,40% 이하,1
51,녹영 (콩란),15~25℃,평균 월 1~2회,40~70%,2
52,안스리움 애로우,18~25℃,평균 주 1~2회,40~70%,3
53,칼라디움 힐로뷰티 (뷰티히로),21~25℃,평균 주 1~2회,70% 이상,4
54,싱고니움 웬들란디 (벨벳 싱고니움),21~25℃,평균 주 1~2회,40~70%,3
55,싱고니움 레드스팟,21~25℃,평균 주 1~2회,40~70%,3
56,싱고니움 글로고,21~25℃,평균 주 1~2회,40~70%,3
57,핑크 은행목 (핑크 아악무),15~25℃,평균 월 1~2회,40~70%,2
58,괴마옥 (파인애플 선인장),18~25℃,평균 월 1~2회,40~70%,2
59,천리향 (서향 나무),15~20℃,평균 주 1~2회,40~70%,3
60,수국,16~26℃,평균 주 2회 이상,40~70%,5
61,휘커스 움베르타 (움벨라타 고무나무),18~29℃,평균 주 1~2회,40~70%,3
62,무늬 페페,18~27℃,평균 주 1~2회,40~70%,3
63,파키포디움 호롬벤세,20~35℃,평균 월 1~2회,40% 이하,2
64,루비 고무나무,21~25°C,평균 주 1~2회,40~70%,3
65,필로덴드론 플로리다 뷰티,18~35℃,평균 주 1~2회,70% 이상,4
66,필로덴드론 플로리다 그린,18~35℃,평균 주 1~2회,70% 이상,4
67,화이트 고스트,15~27℃,평균 월 1~2회,40~70%,2
68,안스리움,18~25℃,평균 주 1~2회,40~70%,3
69,벤자민 고무나무,21~25℃,평균 주 1~2회,40~70%,3
70,크테난테 루베르시아나,15~25℃,평균 주 1~2회,70% 이상,4
71,칼라데아 인시그니스,15~25℃,평균 주 1~2회,70% 이상,4
72,필로덴드론 실버 스워드,18~27℃,평균 주 1~2회,70% 이상,4
73,옥천 앵두 (예루살렘 체리),15~30℃,평균 주 1~2회,40~70%,3
74,골드 셀렘 (필로덴드론 바르세비치 아우레아),21~25℃,평균 주 1~2회,40~70%,3
75,무늬 홍콩야자,21~25℃,평균 주 1~2회,40~70%,3
76,황칠나무,15~25℃,평균 월 1~2회,40~70%,2
77,틸란드시아 이오난사,21~25℃,평균 주 1~2회,40~70%,3
78,크로톤,21~27℃,평균 주 1~2회,40~70%,3
79,벵갈 고무나무,21~25℃,평균 주 1~2회,40~70%,3
80,켄차 야자,21~25℃,평균 주 1~2회,40~70%,3
81,호프 셀렘 (필로덴드론 바이피나티피덤),21~25℃,평균 주 1~2회,40~70%,3
82,필로덴드론 멜라노크리섬,18~26℃,평균 주 1~2회,70% 이상,4
83,필로덴드론 플로리다 고스트,18~35℃,평균 주 1~2회,70% 이상,4
84,필로덴드론 화이트 프린세스,18~26℃,평균 주 1~2회,70% 이상,4
85,칼라데아 오르비폴리아,16~25℃,평균 주 1~2회,70% 이상,4
86,캄피오 아비스 (아스플레니움 니두스 캄피오),21~25℃,평균 주 2회 이상,70% 이상,6
87,렉스 베고니아,16~20℃,평균 주 1~2회,40~70%,3
88,그린 마란타 (마란타 커초비아나),16~27℃,평균 주 1~2회,70% 이상,4
89,마란타 류코뉴라,16~27℃,평균 주 1~2회,70% 이상,4
90,필로덴드론 핑크 프린세스,18~26℃,평균 주 1~2회,70% 이상,4
91,필로덴드론 핑크 콩고 (핑크 콩고),18~30℃,평균 주 1~2회,70% 이상,4
92,칼라데아 스트로만데 (스트로만테 멀티컬러),18~27℃,평균 주 1~2회,70% 이상,4
93,칼라데아 퓨전화이트,16~25℃,평균 주 1~2회,70% 이상,4
94,알리 고무나무,15~24℃,평균 주 1~2회,40~70%,3
95,미모사,18~24℃,평균 주 1~2회,40~70%,3
96,개운죽,18~32℃,평균 주 1~2회,40~70%,3
97,남천,15~25℃,평균 주 1~2회,40~70%,3
98,장미허브,18~27℃,평균 주 1~2회,40~70%,3
99,산세베리아,18~30℃,평균 월 1회 이하,40~70%,1
100,박쥐란,16~25℃,평균 주 2회 이상,40~70%,5
101,알로카시아 오도라,18~29℃,평균 주 1~2회,70% 이상,4
102,필로덴드론 셀로움,21~25℃,평균 주 1~2회,40~70%,3
103,유칼립투스 폴리안,18~25℃,평균 주 1~2회,40~70%,3
104,수박 페페로미아,21~25℃,평균 주 1~2회,40~70%,3
105,알로카시아 프라이덱,18~29℃,평균 주 1~2회,70% 이상,4
106,필로덴드론 버킨 (무늬 콩고),18~30℃,평균 주 1~2회,70% 이상,4
107,알보 몬스테라 (몬스테라 알보 바리에가타),20~25℃,평균 주 1~2회,70% 이상,4
108,드라세나 맛상게아나 (행운목),16~24℃,평균 주 1~2회,40~70%,3
109,해피트리,21~25℃,평균 주 1~2회,40~70%,3
110,아레카 야자,18~24℃,평균 주 1~2회,40~70%,3
111,여인초,18~25℃,평균 주 1~2회,40~70%,3
112,머틀 허브나무,13~24℃,평균 주 1~2회,40~70%,3
113,관음죽,10~27℃,평균 주 1~2회,40~70%,3
114,호야 카르노사 (무늬 호야),21~25°C,평균 주 1~2회,40~70%,3
115,파키라,21~25°C,평균 주 1~2회,40~70%,3
116,로즈마리,18~27℃,평균 주 1~2회,40~70%,3
117,아데니움 (석화),18~32℃,평균 월 1~2회,40~70%,2
118,히메 몬스테라 (미니 몬스테라),16~25℃,평균 주 1~2회,70% 이상,4
119,홍콩야자 (쉐프렐라 홍콩),21~25℃,평균 주 1~2회,40~70%,3
120,홍공작 (무늬 백량금),16~20℃,평균 주 1~2회,40~70%,3
121,필레아 페페로미오데스,13~30℃,평균 주 1~2회,40~70%,3
122,프테리스 고사리,15~25℃,평균 주 2회 이상,70% 이상,6
123,테이블야자,21~25℃,평균 주 1~2회,40~70%,3
124,칼라데아 프레디 (칼라데아 콘친나),18~23℃,평균 주 1~2회,70% 이상,4
125,칼라데아 진저 (칼라데아 오나타),16~25℃,평균 주 1~2회,70% 이상,4
126,칼라데아 아마그리스 (크테난테 아마그리스),18~23℃,평균 주 1~2회,70% 이상,4
127,청산호 (연필 선인장),15~27℃,평균 월 1~2회,40~70%,2
128,율마 (윌마),16~20℃,평균 주 1~2회,40~70%,3
129,올리브 나무,16~27℃,평균 주 1~2회,40~70%,3
130,오색 마삭줄 (초설 마삭줄),16~20℃,평균 주 1~2회,40~70%,3
131,아이비 (헤데라),16~20℃,평균 주 1~2회,40~70%,3
132,아스파라거스 나누스,15~25℃,평균 주 1~2회,40~70%,3
133,아비스,21~25℃,평균 주 2회 이상,70% 이상,6
134,아라우카리아,20~25℃,평균 주 1~2회,40~70%,3
135,스파티필름,18~32℃,평균 주 1~2회,40~70%,3
136,핑크 싱고니움 (네온 싱고니움),21~25℃,평균 주 1~2회,40~70%,3
137,싱고니움,21~25℃,평균 주 1~2회,40~70%,3
138,스프링 골풀 (스프링 준쿠스),18~24℃,평균 주 2회 이상,40~70%,5
139,스투키,13~27℃,평균 월 1회 이하,40~70%,1
140,스킨답서스,21~25℃,평균 주 1~2회,40~70%,3
141,스노우 스파티필름,18~32℃,평균 주 1~2회,40~70%,3
142,수채화 고무나무,21~25°C,평균 주 1~2회,40~70%,3
143,소철,21~25°C,평균 월 1~2회,40~70%,2
144,생선뼈 선인장 (피쉬본),15~25℃,평균 월 1~2회,40~70%,2
145,산세베리아 문샤인,21~25℃,평균 월 1회 이하,40~70%,1
146,비단 삼나무 (블루버드),16~20℃,평균 주 1~2회,40~70%,3
147,블루스타 고사리,15~25℃,평균 주 2회 이상,70% 이상,6
148,보스턴 고사리,16~20℃,평균 주 2회 이상,70% 이상,6
149,미니 알로에,18~24°C,평균 월 1~2회,40% 이하,2
150,무늬 아이비,18~27℃,평균 주 1~2회,40~70%,3
151,몬스테라 아단소니,16~25℃,평균 주 1~2회,70% 이상,4
152,몬스테라 델리시오사,20~25℃,평균 주 1~2회,70% 이상,4
153,멜라니 고무나무,21~25℃,평균 주 1~2회,40~70%,3
154,마오리 코로키아,10~20℃,평균 주 1~2회,40~70%,3
155,마오리 소포라,10~20℃,평균 주 1~2회,40~70%,3
156,떡갈잎 고무나무,16~20℃,평균 주 1~2회,40~70%,3
157,디지고테카 아랄리아,15~25℃,평균 주 1~2회,40~70%,3
158,드라세나 마지나타,24~32℃,평균 월 1~2회,40~70%,2
159,덕구리 난,21~25°C,평균 월 1~2회,40% 이하,2
160,금전수 (돈나무),16~20℃,평균 월 1~2회,40~70%,2
161,엔조이 스킨답서스,21~25℃,평균 주 1~2회,40~70%,3
